,SettlementPoints,Year,Month,Average Price
239,HB_SOUTH,2019,12,18.95251344086022
240,HB_WEST,2016,01,19.126559139784945
241,HB_WEST,2016,02,14.988663793103449
242,HB_WEST,2016,03,15.871668909825036
243,HB_WEST,2016,04,16.862750000000002
244,HB_WEST,2016,05,17.337674731182794
245,HB_WEST,2016,06,23.141930555555554
246,HB_WEST,2016,07,26.543561827956985
247,HB_WEST,2016,08,29.78673387096774
248,HB_WEST,2016,09,26.35425
249,HB_WEST,2016,10,24.113938172043007
250,HB_WEST,2016,11,18.778416666666665
251,HB_WEST,2016,12,24.86266129032258
252,HB_WEST,2017,01,21.901720430107527
253,HB_WEST,2017,02,17.61668154761905
254,HB_WEST,2017,03,19.813593539703902
255,HB_WEST,2017,04,19.99609722222222
256,HB_WEST,2017,05,22.166612903225804
257,HB_WEST,2017,06,25.331694444444445
258,HB_WEST,2017,07,30.293642473118283
259,HB_WEST,2017,08,26.817043010752684
260,HB_WEST,2017,09,22.678819444444443
261,HB_WEST,2017,10,21.69383064516129
262,HB_WEST,2017,11,21.00179166666667
263,HB_WEST,2017,12,20.338037634408604
264,HB_WEST,2018,01,36.05163978494623
265,HB_WEST,2018,02,21.087604166666665
266,HB_WEST,2018,03,20.333620457604308
267,HB_WEST,2018,04,17.156625000000002
268,HB_WEST,2018,05,27.692016129032258
269,HB_WEST,2018,06,28.277027777777775
270,HB_WEST,2018,07,78.51755376344086
271,HB_WEST,2018,08,31.56012096774194
272,HB_WEST,2018,09,26.13959722222222
273,HB_WEST,2018,10,28.76133064516129
274,HB_WEST,2018,11,28.71525
275,HB_WEST,2018,12,29.944005376344087
276,HB_WEST,2019,01,23.881545698924736
277,HB_WEST,2019,02,20.491160714285712
278,HB_WEST,2019,03,25.669676985195153
279,HB_WEST,2019,04,19.551875
280,HB_WEST,2019,05,22.702661290322578
281,HB_WEST,2019,06,24.70855555555556
282,HB_WEST,2019,07,29.455470430107525
283,HB_WEST,2019,08,126.3152822580645
284,HB_WEST,2019,09,78.42925
285,HB_WEST,2019,10,24.668131720430107
286,HB_WEST,2019,11,21.66026388888889
287,HB_WEST,2019,12,18.136424731182796
288,LZ_AEN,2016,01,19.324663978494623
289,LZ_AEN,2016,02,15.448290229885055
290,LZ_AEN,2016,03,16.85507402422611
291,LZ_AEN,2016,04,18.256069444444446
292,LZ_AEN,2016,05,18.124905913978495
293,LZ_AEN,2016,06,24.23751388888889
294,LZ_AEN,2016,07,27.976102150537635
295,LZ_AEN,2016,08,30.69951612903226
296,LZ_AEN,2016,09,26.71086111111111
297,LZ_AEN,2016,10,25.622903225806454
298,LZ_AEN,2016,11,19.640041666666665
299,LZ_AEN,2016,12,25.870174731182797
300,LZ_AEN,2017,01,23.404475806451615
301,LZ_AEN,2017,02,20.605327380952378
302,LZ_AEN,2017,03,22.99701211305518
303,LZ_AEN,2017,04,24.118083333333328
304,LZ_AEN,2017,05,25.293844086021505
305,LZ_AEN,2017,06,27.916638888888894
306,LZ_AEN,2017,07,31.401438172043008
307,LZ_AEN,2017,08,27.46561827956989
308,LZ_AEN,2017,09,24.62880555555555
309,LZ_AEN,2017,10,24.01990591397849
310,LZ_AEN,2017,11,23.019444444444446
311,LZ_AEN,2017,12,21.06293010752688
312,LZ_AEN,2018,01,38.83798387096774
313,LZ_AEN,2018,02,21.91388392857143
314,LZ_AEN,2018,03,22.202826379542397
315,LZ_AEN,2018,04,22.18848611111111
316,LZ_AEN,2018,05,33.16616935483871
317,LZ_AEN,2018,06,30.286125000000002
318,LZ_AEN,2018,07,78.95137096774195
319,LZ_AEN,2018,08,31.732137096774192
320,LZ_AEN,2018,09,27.167305555555554
321,LZ_AEN,2018,10,30.31
322,LZ_AEN,2018,11,30.468083333333333
323,LZ_AEN,2018,12,30.094758064516128
324,LZ_AEN,2019,01,25.107956989247313
325,LZ_AEN,2019,02,21.513809523809524
326,LZ_AEN,2019,03,27.74218034993271
327,LZ_AEN,2019,04,23.270347222222224
328,LZ_AEN,2019,05,24.676236559139785
329,LZ_AEN,2019,06,24.41679166666666
330,LZ_AEN,2019,07,29.709086021505374
331,LZ_AEN,2019,08,126.52692204301073
332,LZ_AEN,2019,09,80.16959722222222
333,LZ_AEN,2019,10,29.280443548387098
334,LZ_AEN,2019,11,24.40801388888889
335,LZ_AEN,2019,12,19.05170698924731
336,LZ_CPS,2016,01,19.353844086021507
337,LZ_CPS,2016,02,15.520014367816092
338,LZ_CPS,2016,03,16.898183041722746
339,LZ_CPS,2016,04,19.06936111111111
340,LZ_CPS,2016,05,18.47986559139785
341,LZ_CPS,2016,06,24.95806944444444
342,LZ_CPS,2016,07,27.967956989247316
343,LZ_CPS,2016,08,31.306572580645163
344,LZ_CPS,2016,09,28.130249999999997
345,LZ_CPS,2016,10,26.250295698924734
346,LZ_CPS,2016,11,21.714666666666666
347,LZ_CPS,2016,12,26.596424731182797
348,LZ_CPS,2017,01,23.772567204301076
349,LZ_CPS,2017,02,20.919479166666665
350,LZ_CPS,2017,03,23.861547779273216
351,LZ_CPS,2017,04,25.337902777777778
352,LZ_CPS,2017,05,26.53702956989247
353,LZ_CPS,2017,06,30.416
354,LZ_CPS,2017,07,32.11529569892473
355,LZ_CPS,2017,08,28.137567204301074
356,LZ_CPS,2017,09,25.136652777777776
357,LZ_CPS,2017,10,25.275954301075267
358,LZ_CPS,2017,11,23.572569444444444
359,LZ_CPS,2017,12,22.04837365591398
360,LZ_CPS,2018,01,41.31287634408602
361,LZ_CPS,2018,02,22.517395833333335
362,LZ_CPS,2018,03,25.2892732166891
363,LZ_CPS,2018,04,26.535375000000002
364,LZ_CPS,2018,05,36.05559139784946
365,LZ_CPS,2018,06,30.727277777777775
366,LZ_CPS,2018,07,79.12443548387097
367,LZ_CPS,2018,08,31.86568548387097
368,LZ_CPS,2018,09,27.512986111111108
369,LZ_CPS,2018,10,31.635967741935485
370,LZ_CPS,2018,11,32.04120833333333
371,LZ_CPS,2018,12,30.309220430107523
372,LZ_CPS,2019,01,26.798333333333332
373,LZ_CPS,2019,02,24.110119047619047
374,LZ_CPS,2019,03,29.351695827725433
375,LZ_CPS,2019,04,25.363597222222225
376,LZ_CPS,2019,05,26.246075268817208
377,LZ_CPS,2019,06,26.391291666666667
378,LZ_CPS,2019,07,30.66717741935484
379,LZ_CPS,2019,08,127.69620967741938
380,LZ_CPS,2019,09,82.43634722222222
381,LZ_CPS,2019,10,33.55360215053763
382,LZ_CPS,2019,11,25.57513888888889
383,LZ_CPS,2019,12,19.997862903225805
