,SettelementPoint,Year,Hour,Volatility
153,HB_HOUSTON,2018,09,0.24189594167845366
154,HB_HOUSTON,2018,10,0.20234785214323484
155,HB_HOUSTON,2018,11,0.19391131746830273
156,HB_HOUSTON,2018,12,0.24323342456002575
157,HB_HOUSTON,2018,13,0.3559287880373282
158,HB_HOUSTON,2018,14,0.5412958574450325
159,HB_HOUSTON,2018,15,0.7259424468396658
160,HB_HOUSTON,2018,16,0.7794568222523888
161,HB_HOUSTON,2018,17,0.589617408378416
162,HB_HOUSTON,2018,18,0.3189793233462221
163,HB_HOUSTON,2018,19,0.2358000272303925
164,HB_HOUSTON,2018,20,0.20839969915186468
165,HB_HOUSTON,2018,21,0.18421455209710083
166,HB_HOUSTON,2018,22,0.17887193091980408
167,HB_HOUSTON,2018,23,0.19936467878318176
168,HB_HOUSTON,2019,00,0.24189012158173953
169,HB_HOUSTON,2019,01,0.2767469638729861
170,HB_HOUSTON,2019,02,0.2894178247138307
171,HB_HOUSTON,2019,03,0.270759981250523
172,HB_HOUSTON,2019,04,0.2482439396302125
173,HB_HOUSTON,2019,05,0.24773605994574172
174,HB_HOUSTON,2019,06,0.4620297580013339
175,HB_HOUSTON,2019,07,0.39957398540134204
176,HB_HOUSTON,2019,08,0.2909920889220084
177,HB_HOUSTON,2019,09,0.24700823652949633
178,HB_HOUSTON,2019,10,0.1984035615975234
179,HB_HOUSTON,2019,11,0.20783860997550818
180,HB_HOUSTON,2019,12,0.32096492168121504
181,HB_HOUSTON,2019,13,0.6482247575993361
182,HB_HOUSTON,2019,14,0.8994398451399813
183,HB_HOUSTON,2019,15,1.080259371925714
184,HB_HOUSTON,2019,16,1.0893758252807992
185,HB_HOUSTON,2019,17,0.7609213529997082
186,HB_HOUSTON,2019,18,0.3864270766638541
187,HB_HOUSTON,2019,19,0.26565056546525395
188,HB_HOUSTON,2019,20,0.2322545182299663
189,HB_HOUSTON,2019,21,0.17264205188812484
190,HB_HOUSTON,2019,22,0.1706319777827418
191,HB_HOUSTON,2019,23,0.1869528393006855
192,HB_HUBAVG,2016,00,0.41947431001645447
